PROVINCIA,aab,SUPERFICIE,DESEMPLEO,PRECIPIT,VE TO,VE MO,POP,MOTOR,CONDUCTORES_MASC,CONDUCTORES_FEM,CONDUCTORES_TOT,ING_CIVIL_ÍNDICE,PIB_CAP,IPC,MUERTOS,HG,HL,ACC,COD_PENAL,DPS_MOD,VELOCIDAD_MOD,ITV_MOD,INFRACCIONES,VEL_MOTORWA,VEL_RURAL,PTW_VKM,LIGEROS_VKM,PESADOS_VKM,EDAD_MEDIANA,GAS_PRECIO_CORR,GAS_PRECIO_CTE,RCE_MOTORWA,RCE_RURAL,RCE_TOTAL,RCE_PROP_MOTORWA,INV_CONS,INV_MAINT,INV_CONS_KM,INV_MAINT_KM,MAINT_T2_200,STOCK_T10_150,STOCK_T10_175,STOCK_T10_200,STOCK_T10_225,STOCK_T10_250,STOCK_T5_200,STO9_200,STO8_200,STO9_100,STO9_300,CAP10_200,CAP9_200,CAP8_200,CAP9_100,CAP9_300
2,2013,7440,39.615,443,727215,81738,1240175,586.3809543,439514,282966,722480,101.3001168,15684,100.83,6,7,77,67,0,1,0,0,100594,16.64,11.14,33.746282,2189.534295,131.515299,39.09,145.32,144.1237727,200.66,113.45,314.11,63.88207953,32980.63958,9128.942231,104.9971016,29.06288317,30430.60208,668443.8477,659275.4961,650245.3959,641351.4922,632591.7583,318717.4706,598068.0726,537757.1058,629450.8782,568375.7834,834872.0908,762386.9835,689021.9042,801428.0625,725401.673
2,2014,7440,42.3075,612.5,725265,83767,1240284,584.7572008,429714,284862,714576,101.784194,15518,100.63,2,7,70,61,0,0,0,0,101758,16.72,11.78,34.671644,2216.1711,131.818182,39.64,138.06,137.1956673,201,114,315,63.80952381,41179.42712,12519.09937,130.7283401,39.74317261,30926.63035,645518.7475,636330.506,627286.1383,618383.4477,609620.2686,317659.7128,568181.3908,484157.5545,598915.3424,539160.7509,800837.7703,728939.9926,635760.0863,767531.8097,692449.0041
2,2015,7440,38.32,300,733919,87294,1239889,591.923148,430143,287800,717943,100.0004344,16034,100,1,4,60,58,0,0,0,0,115442,16.34,13.82,34.20715,2337.589237,143.690174,40.2,120.4,120.4,205.66,113.45,319.11,64.44799599,37313.65266,8909.386481,116.9303772,27.91948382,29945.53999,611891.9954,602939.4504,594131.4157,585465.6268,576939.8521,269755.3156,511788.056,454489.4861,539097.5862,485983.0947,760584.2319,669267.9238,595003.5137,705005.512,635483.826
2,2016,7440,34.3925,555,748756,91505,1239435,604.110744,430763,291550,722313,98.65718947,16716,99.66,4,6,56,52,0,0,0,0,146209,19.7,10.38,1,0,0,40.73,112.38,112.7633955,201.36,125.33,326.69,61.63641373,71804.23933,8140.156894,219.7931964,24.91706784,28894.69868,589175.1583,581202.2091,573356.5342,565636.1761,558039.2051,238732.0282,517203.9357,447894.6743,543357.9997,492529.027,735826.9615,663047.8397,583448.4387,697343.8333,630679.1321
2,2017,7440,30.28,399,768468,97327,1238714,620.3756476,431470,294695,726165,102.0179326,17522,101.69,1,10,79,69,0,0,0,0,157874,19.84,8.18,1,0,0,41.27,119.57,117.5828498,201.36,125.33,326.69,61.63641373,9431.664661,21128.86292,28.87038067,64.67557294,37662.79146,531571.2523,523869.2442,516291.5217,508836.1303,501501.1441,227231.8713,448368.4455,414614.6317,472175.0086,425882.9213,680347.4105,602339.9975,550932.2795,634587.9364,571916.0757
2,2018,7440,27.545,701.4,787838,102634,1240155,635.2738166,432862,298250,731112,104.9998703,18050,103.46,3,20,72,82,0,0,0,1,147105,19.78,8.07,1,0,0,41.81,126.06,121.844191,201,125,326,61.65644172,2635.90194,10618.02552,8.085588772,32.57063042,39142.11786,455836.4277,448880.9268,442036.9785,435302.8456,428676.8157,183753.5146,408958.241,334731.2698,433475.7558,385888.1305,603547.125,553167.5614,450984.3847,585733.0538,522543.9832
3,2006,13771,14.485,588.4,461298,32317,792182,582.3131553,289504,156739,446243,84.31248223,16175,86.29,1,17,23,33,0,0,0,0,0,19.68,12,1,0,0,38.22,101.99,118.1944605,160,452,612,26.14379085,106711.3642,29262.57103,174.3649742,47.81465855,57605.85703,748485.3,742411.6607,736410.9981,730482.2838,724624.5037,572403.2053,696328.1352,683571.9212,716489.7316,676942.1963,925430.4593,860646.6953,835134.2673,887833.9132,834597.6215
3,2007,13771,13.78,488.3,485882,36926,798822,608.2481454,293732,165473,459205,89.65744102,17292,88.75,5,19,27,43,0,0,0,0,92971,20.6,12.45,10.5,1622.1,322.1,38.59,106.31,119.7859155,170,436,606,28.05280528,42500.65535,30464.84452,70.13309464,50.27202065,72986.67097,738215.8043,731522.4598,724902.2278,718354.2082,711877.5116,571715.2493,712401.1381,680594.1115,737988.5814,687852.1087,916399.2613,891397.0818,847683.725,924247.2575,859960.2386
3,2008,13771,16.3225,546.6,497917,40186,803998,619.3012918,309476,176519,485995,94.10446017,17415,92.41,0,11,25,27,1,0,0,0,138546,18.92,9.54,7.7,1597.1,296.1,38.91,111.12,120.2467265,170,425,595,28.57142857,39786.63703,23936.16621,66.86829753,40.22885078,81895.48706,753972.7654,745908.1872,737939.7524,730066.236,722286.4288,550769.3054,706768.8663,683014.2192,735893.6451,678870.8505,937291.9434,894452.8538,857588.9266,931310.8776,859221.1217
3,2009,13771,26.0025,658.5,502814,42029,805108,624.5298767,309486,180142,489628,94.4134719,16712,92.19,2,4,22,22,1,0,0,0,107680,15.71,12.23,8.4,1630.4,278.3,39.28,99.09,107.4845428,172,415,587,29.30153322,82223.4353,27267.2951,140.0739954,46.45195076,79983.17466,792580.3312,783662.5437,774856.9243,766162.0616,757576.5617,548010.3131,751577.3701,700773.2866,784991.0258,719717.9091,986054.5271,949927.8785,876230.5007,991501.4954,910330.2142
